Sample_code,Method,Spike,Water_type,Volume,Replicate,N1_Rec%,Flu-A_Rec%,Flu-B_Rec%,Phi6_Rec%,NoVGII_Rec%,MeV_Rec%,RoV_Rec%,MNV Rec%,CrAss_Rec%,AdV_Rec%,PMMoV_Rec%
AS_50_U_WW,AS,U,WW,37.5,1,0.310114251,,,,0.408711793,,,,0.534496823,0.32044698,1.644332367
AS_50_U_WW,AS,U,WW,37.5,2,0.257736611,,,,1.103780721,,,,0.521921747,0.440788055,1.81319115
AS_50_U_WW,AS,U,WW,37.5,3,0.91419285,,,,0.811897262,,,,0.699867046,0.57668236,3.347053128
BE-PEG_20_U_WW,BE-PEG,U,WW,15,1,6.153905425,,,,13.38979768,,,,3.631402239,1.975684441,12.35179738
BE-PEG_20_U_WW,BE-PEG,U,WW,15,2,7.524638889,,,,23.66833618,,,,4.272967699,3.081522767,16.40383479
BE-PEG_20_U_WW,BE-PEG,U,WW,15,3,8.363740563,,,,8.988405315,,,,2.636550013,2.129529142,7.94390952
BE-PEG_200_U_WW,BE-PEG,U,WW,150,1,1.39994753,,,,3.686967155,,,,0.554669232,0.287498167,2.200331417
BE-PEG_200_U_WW,BE-PEG,U,WW,150,2,4.31420254,,,,21.30030154,,,,1.43988161,0.51042701,3.653788995
BE-PEG_200_U_WW,BE-PEG,U,WW,150,3,2.10646335,,,,5.962779994,,,,0.589440511,0.242469136,2.328099816
BE-PEG_50_U_WW,BE-PEG,U,WW,37.5,1,5.330762981,,,,6.642831486,,,,1.472305868,0.931385806,3.739977576
BE-PEG_50_U_WW,BE-PEG,U,WW,37.5,2,4.822498063,,,,7.297008494,,,,1.311105312,1.025194487,4.475574191
BE-PEG_50_U_WW,BE-PEG,U,WW,37.5,3,5.552502151,,,,14.26445562,,,,2.432739704,1.615978713,6.910488198
Pellet_BE_PEG_50_U_WW,Pellet_BE,U,WW,50,1,3.789801358,,,,5.050223467,,,,0.698879814,1.489395388,0.621381213
Pellet_BE_PEG_50_U_WW,Pellet_BE,U,WW,50,2,2.227606458,,,,7.572583709,,,,2.418473929,1.158476569,1.259391009
Pellet_BE_PEG_50_U_WW,Pellet_BE,U,WW,50,3,1.606231241,,,,3.557155079,,,,1.66952432,1.189218717,0.837868943
PEG_20_U_WW,PEG,U,WW,15,1,7.287287222,,,,,,,,2.954895887,2.294495577,15.07347871
PEG_20_U_WW,PEG,U,WW,15,2,7.673913767,,,,,,,,2.429752047,1.956343696,7.239570813
